id_image,date_image,ndvi_value,evi_value,savitzky_golay,timestamps
,,0.22081310765469409,2.8337125458938703,0.32242315801092447,2023-02-12
,,0.2265892913356584,2.8350298480795924,0.3240012479182273,2023-02-13
,,0.2323654750166227,2.836347150265315,0.3255793378255301,2023-02-14
,,0.238141658697587,2.837664452451037,0.32715742773283296,2023-02-15
,,0.2439178423785513,2.838981754636759,0.3287355176401358,2023-02-16
,,0.24969402605951563,2.840299056822481,0.33031360754743866,2023-02-17
,,0.2554702097404799,2.8416163590082033,0.33189169745474145,2023-02-18
,,0.26124639342144423,2.8429336611939253,0.3334697873620443,2023-02-19
,,0.2670225771024085,2.8442509633796473,0.33504787726934715,2023-02-20
,,0.27279876078337284,2.84556826556537,0.33662596717664994,2023-02-21
,,0.27857494446433717,2.846885567751092,0.3382040570839528,2023-02-22
,,0.28435112814530145,2.848202869936814,0.33978214699125564,2023-02-23
,,0.2901273118262658,2.8495201721225363,0.34136023689855843,2023-02-24
,,0.29590349550723005,2.8508374743082583,0.3429383268058613,2023-02-25
,,0.3016796791881944,2.8521547764939803,0.34451641671316413,2023-02-26
,,0.3074558628691587,2.8534720786797028,0.3460945066204669,2023-02-27
,,0.313232046550123,2.8547893808654248,0.3476725965277698,2023-02-28
,,0.3190082302310873,2.856106683051147,0.3492506864350726,2023-03-01
,,0.3247844139120516,2.8574239852368692,0.3508287763423754,2023-03-02
,,0.3305605975930159,2.8587412874225913,0.35240686624967826,2023-03-03
,,0.33633678127398026,2.8600585896083133,0.3539849561569811,2023-03-04
,,0.34211296495494453,2.8613758917940353,0.3555630460642839,2023-03-05
,,0.34788914863590886,2.8626931939797577,0.35714113597158675,2023-03-06
,,0.35366533231687314,2.8640104961654798,0.3587192258788896,2023-03-07
,,0.35944151599783747,2.8653277983512018,0.3602973157861924,2023-03-08
,,0.3652176996788018,2.8666451005369242,0.36187540569349524,2023-03-09
,,0.3709938833597661,2.8679624027226462,0.3634534956007981,2023-03-10
,,0.3767700670407304,2.8692797049083683,0.36503158550810094,2023-03-11
,,0.3825462507216947,2.8705970070940907,0.36660967541540374,2023-03-12
,,0.388322434402659,2.8719143092798127,0.3681877653227066,2023-03-13
,,0.39409861808362334,2.8732316114655347,0.36976585523000943,2023-03-14
,,0.3998748017645876,2.874548913651257,0.3713439451373122,2023-03-15
,,0.40565098544555195,2.875866215836979,0.3729220350446151,2023-03-16
,,0.4114271691265162,2.8771835180227012,0.3745001249519179,2023-03-17
,,0.41720335280748055,2.8785008202084237,0.37607821485922077,2023-03-18
,,0.4229795364884449,2.8798181223941457,0.37765630476652357,2023-03-19
,,0.42875572016940916,2.8811354245798677,0.3792343946738264,2023-03-20
,,0.4345319038503735,2.8824527267655897,0.38081248458112926,2023-03-21
,,0.44030808753133777,2.883770028951312,0.38239057448843206,2023-03-22
,,0.4460842712123021,2.885087331137034,0.3839686643957349,2023-03-23
,,0.45186045489326643,2.886404633322756,0.38554675430303775,2023-03-24
,,0.4576366385742307,2.8877219355084787,0.38712484421034055,2023-03-25
20230326T163839_20230326T164123_T15SYV,2023-03-26,0.46341282225519503,2.8890392376942007,0.3887029341176434,2023-03-26
,,0.46539531112827653,2.8879901856062724,0.39587279727270097,2023-03-27
,,0.467377800001358,2.886941133518344,0.40304266042775855,2023-03-28
